Ranking,Game_Name,Platform,Release_Year,Genre,Publisher,North_America_Sales,Europe_Sales,Japan_Sales,Other_Regions_Sales,Total_Global_Sales,Year_int
1,wii sports,Wii,2006-01-01,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,2006.0
2,super mario bros.,NES,1985-01-01,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,1985.0
3,mario kart wii,Wii,2008-01-01,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,2008.0
4,wii sports resort,Wii,2009-01-01,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0,2009.0
5,pokemon red/pokemon blue,GB,1996-01-01,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37,1996.0
6,tetris,GB,1989-01-01,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,1989.0
7,new super mario bros.,DS,2006-01-01,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,2006.0
8,wii play,Wii,2006-01-01,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02,2006.0
9,new super mario bros. wii,Wii,2009-01-01,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,2009.0
10,duck hunt,NES,1984-01-01,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,1984.0
11,nintendogs,DS,2005-01-01,Simulation,Nintendo,9.07,11.0,1.93,2.75,24.76,2005.0
12,mario kart ds,DS,2005-01-01,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42,2005.0
13,pokemon gold/pokemon silver,GB,1999-01-01,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1,1999.0
14,wii fit,Wii,2007-01-01,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72,2007.0
15,wii fit plus,Wii,2009-01-01,Sports,Nintendo,9.09,8.59,2.53,1.79,22.0,2009.0
16,kinect adventures!,X360,2010-01-01,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82,2010.0
17,grand theft auto v,PS3,2013-01-01,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,2013.0
18,grand theft auto: san andreas,PS2,2004-01-01,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,2004.0
19,super mario world,SNES,1990-01-01,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,1990.0
20,brain age: train your brain in minutes a day,DS,2005-01-01,Misc,Nintendo,4.75,9.26,4.16,2.05,20.22,2005.0
21,pokemon diamond/pokemon pearl,DS,2006-01-01,Role-Playing,Nintendo,6.42,4.52,6.04,1.37,18.36,2006.0
